channel,channel_idx,addicted_mean,healthy_mean,t_statistic,p_value,cohens_d,auc_score,discriminability,task
C3,13,76.0723996968794,205.5118610969371,-1.7669174362063387,0.10264076710445527,-1.020130257428769,0.22448979591836735,0.9154233052598147,EC
Cz,5,1.4742822554703834,7.969486264656447,-1.713323549063317,0.11234420373138872,-0.9891878122455663,0.36734693877551017,0.8780582951380437,EC
Fz,6,169.42856251229978,102.0196394429688,1.2309396654986104,0.24192698622838235,0.7106833472310613,0.673469387755102,0.5387498668727516,EC
P8,2,310.6875024068404,220.1206304381867,1.0685121274611036,0.30631329475049496,0.6169057644216279,0.6122448979591837,0.4279393271710664,EC
T7,14,176.70652337192746,225.30431659016787,-0.7345696646302183,0.47671145610841636,-0.4241039936124195,0.3877551020408163,0.2219287612760485,EC
Fp1,10,338.39000667076255,253.61342327403858,0.6735870713163011,0.5133390588266955,0.3888956769469397,0.5306122448979591,0.18926033616122706,EC
T8,3,173.1341078172696,196.46465371451038,-0.6033500554050975,0.5575082228994227,-0.3483443169031885,0.44897959183673475,0.15413949582937855,EC
P4,0,285.47866524028166,198.5855256202101,0.5563315844761745,0.5882084575115483,0.3211981900558916,0.36734693877551017,0.1322666981276145,EC
Fp2,8,356.64586534158855,291.20609363263554,0.5334516148136411,0.6034615028109631,0.3079884334121513,0.5510204081632653,0.12212927053686023,EC
Pz,18,57.39736046465547,33.40075007058145,0.5304962898014839,0.6054462619122227,0.3062821757205936,0.40816326530612246,0.12084477734021765,EC
F3,12,200.70064329222888,171.17575075555789,0.47598585015099787,0.6426329323137487,0.2748105587148757,0.5306122448979591,0.09820824353715552,EC
F7,11,216.00249973097178,238.64459675987536,-0.2784797061620969,0.7853847235666588,-0.1607803333164204,0.3061224489795918,0.034505915679748304,EC
F4,7,179.14228730329745,198.12499890619193,-0.23049554039600625,0.8215894296765861,-0.13307666229454918,0.44897959183673475,0.023742283216706867,EC
O1,17,325.1893654662362,295.9841621611154,0.22176170943886364,0.8282284293312978,0.12803418264042338,0.5918367346938775,0.021992632651429006,EC
P3,16,221.5409124895896,204.9636428668059,0.17661863681046472,0.8627537439117904,0.10197081750636385,0.40816326530612246,0.0139951129330025,EC
O2,1,364.85756578584557,357.5907889663139,0.054158481536888924,0.9577001145728707,0.03126841389421074,0.673469387755102,0.001322650325213171,EC
P7,15,286.69614777921595,290.76987368859665,-0.0392219364315692,0.9693584262859425,-0.022644795556892285,0.46938775510204084,0.000693872172296277,EC
C4,4,82.10841699279793,80.94554150033234,0.028087628696080915,0.9780539752739159,0.01621639998855796,0.3469387755102041,0.00035588551511696277,EC
F8,9,253.32318249215882,255.4564374165358,-0.022567081883599023,0.9823665163820728,-0.013029110800312266,0.4285714285714286,0.00022974861185346416,EC
C3,13,45.41005589473561,193.27844363533308,-2.2841004341825824,0.041370518048439234,-1.318726000530279,0.22448979591836737,1.264169622724395,EO
Cz,5,1.0171578086120876,8.480140951976546,-2.0043894243091547,0.06812819688443306,-1.157234773667785,0.32653061224489793,1.0783944551658338,EO
C4,4,44.049671438363,82.13095377914344,-1.3093741613463294,0.214924200557246,-0.7559675245217431,0.30612244897959184,0.5934918086666672,EO
P4,0,92.25807017833667,167.7462073122454,-1.119299521238953,0.2849167585019906,-0.6462278798905755,0.22448979591836735,0.462106727098539,EO
Fz,6,174.7007582098375,121.88258072336929,0.9944994390026417,0.33961088061439215,0.5741745188164828,0.653061224489796,0.37917860485487226,EO
P8,2,167.75478294261808,127.02868821848098,0.8969505402910877,0.38738620085747,0.5178546358861813,0.6938775510204082,0.31724489589380506,EO
F4,7,138.7967642996112,192.08856598724722,-0.832348381771048,0.4214685549428687,-0.48055656227463056,0.40816326530612246,0.2780170824044293,EO
T8,3,130.18783108759675,162.34365845396297,-0.7115913122125453,0.4903204588724345,-0.4108374356583872,0.3877551020408163,0.2093954356843925,EO
P3,16,93.6241434437201,119.46044691413489,-0.49521479031801724,0.6293919907892522,-0.28591239249647493,0.326530612244898,0.10596142259180051,EO
Pz,18,26.00205125300035,17.83682140375418,0.4351701543383407,0.6711627111008514,0.25124560574975896,0.36734693877551017,0.08261892384257509,EO
F8,9,211.90536461937353,232.10614018133546,-0.39325833489223017,0.7010259414372837,-0.22704780551083786,0.4489795918367347,0.06788140390133346,EO
P7,15,161.6817909459513,143.99977494918363,0.2894598353492823,0.7771698340144917,0.16711971385833496,0.5714285714285714,0.037239313578503436,EO
Fp2,8,388.86137928052193,410.5888694885827,-0.18980760404960859,0.8526327120185944,-0.10958547129222417,0.4285714285714285,0.01614931370649926,EO
Fp1,10,439.1195802930969,467.8679857392186,-0.18021033569277417,0.8599949195564481,-0.10404448582293835,0.4897959183673469,0.014566756607348475,EO
F7,11,209.23348549076476,200.3001227774325,0.10758219461651411,0.9161049176732274,0.062112609021811954,0.40816326530612246,0.0052109424474155504,EO
O1,17,136.23485036605564,131.42263783798484,0.08203610741122926,0.9359704699450586,0.04736356869709565,0.5306122448979592,0.003032667045399967,EO
O2,1,165.1738330880283,162.65869243755267,0.04113291210902519,0.9678663946734457,0.02374809787867649,0.5306122448979591,0.0007631120044897715,EO
