feature,importance
Fz_alpha,0.9999999998342507
P7_mobility,0.788990568767443
Fz_theta,0.7810058363773321
corr_P7_O1,0.72656540165967
corr_C3_T7,0.6641677750903735
P8_mobility,0.6392797120001019
T7_alpha,0.608284441175262
C3_complexity,0.6082084523383556
C3_beta,0.6025108409072027
corr_F7_F3,0.5603307278029211
corr_F7_T7,0.5437238800891596
T7_theta,0.537162358977649
C4_beta,0.5368246195840799
corr_O2_O1,0.5353491649765298
C3_theta,0.5169089828932812
P8_complexity,0.5062350599257627
O2_mobility,0.4983229577787062
T7_complexity,0.4890000255710315
corr_Fp2_Fp1,0.483328043887748
P8_beta,0.4826963814180259
corr_O1_Pz,0.4738950697473901
corr_Fz_C3,0.46216684100328514
O2_gamma,0.46122429693776357
P8_kurt,0.45913135263012655
corr_T8_F8,0.4550136519170412
corr_F3_T7,0.45353806727032275
Cz_mobility,0.4533644281481222
Pz_alpha,0.44697820619595846
corr_Fp1_F3,0.44534830325899055
C3_mobility,0.43942982152816445
P8_gamma,0.4390940174416377
Fp2_mobility,0.43060770302881185
P3_gamma,0.4292189688388007
T7_beta,0.41930939498779496
corr_P4_Pz,0.41651273034095304
Pz_mobility,0.4022761862456492
corr_T7_P3,0.4007851015427406
F8_mobility,0.39444086123992533
corr_Fp2_F3,0.38560834214604933
corr_C4_T7,0.38257792271965574
P7_gamma,0.372224808032869
P7_theta,0.36905737392005494
Pz_theta,0.3644365631935102
corr_T7_O1,0.3549549333365972
corr_Cz_Fp2,0.34844996327666683
Cz_alpha,0.3451584088912705
corr_P3_O1,0.34339865543528897
corr_F4_O1,0.3432254573192503
F3_gamma,0.33988004446689013
T7_mobility,0.33974512065105394
T7_kurt,0.338968287381587
P3_complexity,0.33848354836105793
corr_C4_Fp1,0.3363834743672112
P4_std,0.33058102870355344
Cz_beta,0.3303752861213934
corr_C4_F8,0.3276335596798655
P7_beta,0.3263674099482706
O2_kurt,0.32005838251840024
P7_complexity,0.31638636121468067
F7_gamma,0.31512295789313954
T8_beta,0.31274724638056295
corr_Cz_F4,0.3120591961059114
corr_P4_O1,0.3095582742798304
T8_gamma,0.3091754367257158
P4_alpha,0.3062537496837148
O1_theta,0.30425824637544735
corr_T8_F7,0.3014640675193924
corr_C4_Pz,0.30144600299502605
T8_kurt,0.30017954417063036
corr_T8_F3,0.2997743565482187
Cz_theta,0.29900475575227564
corr_Fz_Fp2,0.29740572556054284
T8_skew,0.29404618959680345
corr_Cz_P7,0.2934345557337372
Fz_skew,0.2910482693734598
corr_Cz_P3,0.28924807873215186
corr_F4_P3,0.28897003845741315
corr_P8_F4,0.28798354663036296
Fz_complexity,0.2876170468623596
F3_skew,0.28707540851503066
corr_Fz_F3,0.2867446466658408
corr_C4_P7,0.2842608751943679
corr_O2_P3,0.28305019964941197
