task,band,addicted_mean,healthy_mean,difference,t_statistic,p_value,cohens_d,significant
EC,delta,64.58552672436542,62.94262489997742,1.6429018243880051,0.17958842975997416,0.8576134494319332,0.022105807581762643,False
EC,theta,25.38042743879768,25.03908247175262,0.3413449670450568,0.11355954341055632,0.90967326844154,0.013978213513280397,False
EC,alpha,68.44085306536353,62.97659337547596,5.4642596898875695,0.46834516446929886,0.6399242228345418,0.05764930458742599,False
EC,beta,41.39562184590969,37.093182506492994,4.3024393394166935,0.8249789081941132,0.4101283609127935,0.10154788383587578,False
EC,gamma,14.670007615580385,13.414420597154594,1.255587018425791,0.5813820538913431,0.5614790365124507,0.07156318384170433,False
EO,delta,69.00029409066364,72.75936069369894,-3.7590666030352935,-0.28448203851588505,0.7762640124197642,-0.035017318277727624,False
EO,theta,16.3951886981027,21.96020259290867,-5.565013894805968,-2.5650238732042174,0.010870112402293564,-0.31573261294849875,True
EO,alpha,20.46378410036978,28.668757552285964,-8.204973451916185,-2.4863586118165135,0.013524545401367704,-0.3060495886366571,True
EO,beta,34.871318101270084,33.48603990451025,1.3852781967598347,0.29150993635130135,0.7708902622076294,0.03588239270067912,False
EO,gamma,13.691771844612045,14.113626086453337,-0.4218542418412916,-0.19982046840514203,0.8417748210934999,-0.024596199384034175,False
H,delta,69.16978922779872,98.38166265990509,-29.211873432106373,-1.7411785612194761,0.08281720558948549,-0.21432426516159744,False
H,theta,18.641767946493427,22.296157821021154,-3.654389874527727,-1.4725142274965026,0.14207322990565152,-0.18125397174992589,False
H,alpha,16.65422198100152,22.461502995030088,-5.807281014028568,-2.80735079663286,0.005367653366475439,-0.3455609952575,True
H,beta,33.70849509608946,32.20135858705751,1.5071365090319446,0.303143092942503,0.7620195565919456,0.03731433529028675,False
H,gamma,12.445166394488675,11.142153644740006,1.3030127497486692,0.6231042805078527,0.5337539072578181,0.07669883492286449,False
C,delta,69.1596570242458,106.2514316224649,-37.091774598219104,-2.2261753899240735,0.026846760311446116,-0.27402324792704924,True
C,theta,17.773180859381974,23.38271529275093,-5.609534433368957,-2.050148265199815,0.041337622516377626,-0.25235580669100244,True
C,alpha,15.917303813091022,21.833014421346967,-5.915710608255944,-2.8697314419624984,0.004440677534166105,-0.3532395218993251,True
C,beta,32.833752685049404,27.759697717369427,5.074054967679977,1.0384951583586064,0.29998979029164424,0.12782991741685712,False
C,gamma,12.214455041783346,9.418619751052187,2.7958352907311586,1.3794842081432552,0.16891286898472818,0.1698027679617662,False
S,delta,68.57369934289383,102.91749848697249,-34.34379914407866,-2.1723704045801915,0.030717666832297662,-0.2674003120589438,True
S,theta,16.83243163955916,24.055219119072582,-7.222787479513421,-2.3411327631305268,0.019969752765636437,-0.2881735223931518,True
S,alpha,15.378636569302001,21.240068724192394,-5.861432154890393,-2.8605862642192044,0.004566757024061553,-0.3521138283356261,True
S,beta,30.049308235268292,29.009819323840347,1.039488911427945,0.21243026927901187,0.8319352995340422,0.026148358574628935,False
S,gamma,10.748264820561353,9.986811167328266,0.7614536532330867,0.3784229847709683,0.7054205190994123,0.04658064941602288,False
F,delta,71.08372772274649,85.34371091141118,-14.259983188664691,-1.034343428016465,0.30192219245308916,-0.1273188747391071,False
F,theta,16.969610100925276,19.291516659743788,-2.3219065588185117,-1.0769401389933921,0.28249012357527487,-0.1325621674034297,False
F,alpha,14.944916328720215,21.172061152706313,-6.227144823986098,-3.0033679345322244,0.002926385084678816,-0.36968903701889577,True
F,beta,31.341072529898202,23.597527547554176,7.7435449823440266,1.758570192278118,0.07980915762814576,0.21646502695872025,False
F,gamma,12.125841550351954,7.778379884682355,4.347461665669599,2.355459737396753,0.01923169907162307,0.28993705101602024,True
M,delta,69.96500855504715,111.62059984488285,-41.6555912898357,-2.1068491004271124,0.036074227788777766,-0.25933519703987773,True
M,theta,17.18121808974798,26.043900390720285,-8.862682300972306,-3.227405660680418,0.00140696429381224,-0.3972661747665104,True
M,alpha,15.86099074124515,25.659624443220288,-9.798633701975138,-3.7172262840102195,0.00024593165062660735,-0.45755892560424594,True
M,beta,34.12436982297498,31.44772705305032,2.6766427699246584,0.555686224370897,0.5788959770173164,0.06840024587431492,False
M,gamma,14.49172747463155,11.273103468261644,3.2186240063699056,1.487474197708274,0.13808300987058783,0.18309541678815666,False
ET,delta,137.161096544195,217.96187975383498,-80.80078320963997,-1.8686196723020396,0.0627831799437994,-0.23001118153690472,False
ET,theta,24.71548501278158,37.42562989084399,-12.710144878062412,-1.384201090494099,0.1674658597516888,-0.17038337604390852,False
ET,alpha,18.398156012239788,22.340271701894782,-3.942115689654994,-0.788011080915902,0.4313971903660935,-0.09699745885793531,False
ET,beta,45.20843767815742,38.08753429799513,7.1209033801622965,0.7629545935385228,0.44617167405071734,0.0939132184680637,False
ET,gamma,19.00103653000545,13.670076958921143,5.330959571084307,1.35903706018128,0.17529471751334838,0.16728589803335797,False
R,delta,201.00448002767556,196.72588603915543,4.278593988520129,0.11543868310225243,0.9081851747401799,0.014209519619742235,False
R,theta,38.42394428867348,40.689905908368345,-2.2659616196948633,-0.23620595473454473,0.8134560125565354,-0.02907494314643458,False
R,alpha,27.638956560022827,36.59137410367682,-8.952417543653993,-1.2199276817158267,0.22358095351131063,-0.15016271722911007,False
R,beta,58.96160708009142,47.34573054607891,11.615876534012507,1.1428906999686685,0.2541193553188217,0.14068012028538626,False
R,gamma,24.480978714030133,16.67407063873566,7.806908075294473,1.7381354730722585,0.08335291709570887,0.21394968690394575,False
