source,target,source_idx,target_idx,importance
Fz,Fp2,6,8,1.0
P8,Fz,2,6,0.9955743703961851
C4,Fz,4,6,0.9952193166926593
Cz,Fz,5,6,0.9927751539004407
Fz,Fp1,6,10,0.9808648220366801
Fz,F7,6,11,0.9792316650492532
C4,T7,4,14,0.975658836310213
Fz,T7,6,14,0.9753641014542065
C4,Pz,4,18,0.9625658256665711
C4,O1,4,17,0.959014148350133
P8,F4,2,7,0.9586802608318071
Cz,Fp2,5,8,0.9580847170848661
Fz,C3,6,13,0.9542031638130715
C4,P3,4,16,0.9511622402580819
P8,Cz,2,5,0.9509398231524573
Fz,P3,6,16,0.9499084661732636
T7,P3,14,16,0.9483021613369854
C4,Fp2,4,8,0.948290477514032
Fz,F8,6,9,0.9481477985394468
C3,T7,13,14,0.9478738267948206
P4,Cz,0,5,0.9458486933616058
Cz,Fp1,5,10,0.9456402318963812
P8,T7,2,14,0.9455353728917983
C4,C3,4,13,0.9448957228915306
Fz,Pz,6,18,0.943159161042268
Cz,O1,5,17,0.9429405435302859
Fz,P7,6,15,0.9428054587697621
C4,P7,4,15,0.9426920449466786
F4,Fp2,7,8,0.9424064199623922
T8,C4,3,4,0.9409093391359782
P8,C4,2,4,0.9403309124420676
O2,T7,1,14,0.9399695042062337
P8,F8,2,9,0.9396007867722211
Fz,F3,6,12,0.9393688867052433
P3,O1,16,17,0.9391694322781119
C4,F4,4,7,0.9388178016869981
O2,Fz,1,6,0.9383443164330989
Fz,F4,6,7,0.937479074680265
C4,F7,4,11,0.9374133118365486
Cz,C3,5,13,0.9371140536055789
Cz,F3,5,12,0.9363748959060066
C4,F8,4,9,0.9348339576958821
Cz,F4,5,7,0.934225292129884
Fp2,Pz,8,18,0.9328587194269913
C4,F3,4,12,0.932526971590278
Cz,P7,5,15,0.9324893415062386
F3,T7,12,14,0.9315627053190908
P4,C4,0,4,0.931130044498524
P8,C3,2,13,0.9306979549715896
C3,O1,13,17,0.9301014105320395
O2,Fp2,1,8,0.9294043877897831
O2,C4,1,4,0.929036546430863
P4,Fp2,0,8,0.9276284233155709
T8,O1,3,17,0.9267141889498369
P8,Fp2,2,8,0.9260601075325928
Fz,O1,6,17,0.9254082012156961
P4,P8,0,2,0.9253589383271837
P4,O1,0,17,0.9253129516536011
P4,T7,0,14,0.9247328513394266
Cz,F7,5,11,0.9240674581565017
P8,F7,2,11,0.9235890581709099
T8,Fp2,3,8,0.9231585709505619
Fp2,P7,8,15,0.9230009638465824
T7,O1,14,17,0.9225322825623445
O2,F3,1,12,0.9218901083085209
F7,P3,11,16,0.9217150819188089
C3,P3,13,16,0.9214726107614932
T8,T7,3,14,0.921398053095962
P4,Fz,0,6,0.9208945795749371
