channel_1,channel_2,difference,abs_difference,task
O1,Pz,0.1992332381482635,0.1992332381482635,EC
Cz,T7,0.16140255146666627,0.16140255146666627,EC
P3,Pz,0.1555080728242495,0.1555080728242495,EC
C3,O1,0.15228094140050513,0.15228094140050513,EC
P7,Pz,0.15107562574862182,0.15107562574862182,EC
P4,C4,0.14211255683829993,0.14211255683829993,EC
O2,P8,0.13424885432321162,0.13424885432321162,EC
C4,Cz,0.1341943443292396,0.1341943443292396,EC
C3,P7,0.130937548831019,0.130937548831019,EC
C4,Pz,0.12541665121229018,0.12541665121229018,EC
P8,Fz,-0.1740364175503582,0.1740364175503582,EO
Fz,F3,-0.16652679940319087,0.16652679940319087,EO
Cz,T7,0.16184756687082383,0.16184756687082383,EO
Fz,F8,-0.13888278632841966,0.13888278632841966,EO
Fz,Fp2,-0.1270899954412702,0.1270899954412702,EO
Fz,F4,-0.12665934788845357,0.12665934788845357,EO
Fz,Fp1,-0.12541239822480035,0.12541239822480035,EO
Fz,F7,-0.12468708422514226,0.12468708422514226,EO
T8,Fz,-0.11612913135519003,0.11612913135519003,EO
Cz,Fp1,0.11213913151778765,0.11213913151778765,EO
P8,Fp1,-0.18532695388416356,0.18532695388416356,H
Cz,T7,0.17265707762350616,0.17265707762350616,H
C4,Cz,0.15173444882736997,0.15173444882736997,H
Cz,C3,0.13189283124188328,0.13189283124188328,H
P4,O2,0.12624095160187748,0.12624095160187748,H
Cz,Pz,0.11629878922117017,0.11629878922117017,H
F8,Fp1,-0.1104803678887019,0.1104803678887019,H
T8,C4,0.1046612244058884,0.1046612244058884,H
P4,Fz,0.10009265210239994,0.10009265210239994,H
O2,Fp2,-0.09807349399160553,0.09807349399160553,H
P7,O1,-0.1365589428346422,0.1365589428346422,C
P8,Fz,-0.13462050996239994,0.13462050996239994,C
Fp2,Pz,-0.11547537151464389,0.11547537151464389,C
Fz,P7,-0.11017414141507897,0.11017414141507897,C
P4,P3,0.10544218407215755,0.10544218407215755,C
O2,O1,-0.10248195265395518,0.10248195265395518,C
P8,Cz,0.10150365090012349,0.10150365090012349,C
T7,P7,-0.09956585016037972,0.09956585016037972,C
Fz,O1,-0.09363712210950743,0.09363712210950743,C
O2,P7,-0.09221547102379331,0.09221547102379331,C
Cz,F3,-0.13140148523616446,0.13140148523616446,S
Cz,Pz,0.12279366363160318,0.12279366363160318,S
Cz,F7,-0.1079547107459801,0.1079547107459801,S
C3,O1,0.10204886893364465,0.10204886893364465,S
Fz,F8,-0.10060959183280122,0.10060959183280122,S
C4,F8,-0.0908924858643841,0.0908924858643841,S
Fz,Fp2,-0.08444946693840828,0.08444946693840828,S
P7,O1,-0.08439997443710978,0.08439997443710978,S
C4,Cz,0.08199950682122102,0.08199950682122102,S
F7,P3,-0.0799444133305341,0.0799444133305341,S
Cz,Pz,0.1883287831409676,0.1883287831409676,F
Cz,O1,0.14725255145513827,0.14725255145513827,F
C4,Cz,0.13559374186185547,0.13559374186185547,F
Fz,P7,-0.13257146588249025,0.13257146588249025,F
O2,Cz,0.12362806307672414,0.12362806307672414,F
O2,P8,0.11631567113220384,0.11631567113220384,F
F4,P7,-0.09970053407337688,0.09970053407337688,F
T7,P7,-0.09962529787746785,0.09962529787746785,F
T8,Pz,0.0940662001524647,0.0940662001524647,F
Fp1,O1,-0.09239322654671055,0.09239322654671055,F
Cz,T7,0.20821517069775614,0.20821517069775614,M
T8,O1,0.12415501284129624,0.12415501284129624,M
C4,Cz,0.12227895102993398,0.12227895102993398,M
T8,Pz,0.11485485421011316,0.11485485421011316,M
O2,O1,-0.10994653606608189,0.10994653606608189,M
C4,Pz,0.10955941732296288,0.10955941732296288,M
Cz,F4,-0.10774855983607821,0.10774855983607821,M
P7,O1,-0.09917635976284031,0.09917635976284031,M
C3,T7,0.09805241471086214,0.09805241471086214,M
Cz,Fz,-0.09666407287423809,0.09666407287423809,M
C4,T7,0.23324391399026337,0.23324391399026337,ET
Cz,C3,0.2003081360475512,0.2003081360475512,ET
C4,C3,0.16936305215166197,0.16936305215166197,ET
C4,Cz,0.14622710745186135,0.14622710745186135,ET
Fp1,F3,-0.1442544671670118,0.1442544671670118,ET
P8,F3,-0.14351679054669675,0.14351679054669675,ET
Cz,O1,0.14136046945733693,0.14136046945733693,ET
C4,O1,0.1375625845373554,0.1375625845373554,ET
P4,F3,-0.1363520932952697,0.1363520932952697,ET
F3,Pz,-0.11864841720648892,0.11864841720648892,ET
Cz,Fz,0.20924492542686904,0.20924492542686904,R
Cz,T7,0.13241186803266208,0.13241186803266208,R
Fp2,F7,0.131104586232014,0.131104586232014,R
C4,C3,0.12857705403056302,0.12857705403056302,R
T8,F7,0.12238073249133778,0.12238073249133778,R
C3,T7,0.1130807220881349,0.1130807220881349,R
T8,Cz,0.11091770444214634,0.11091770444214634,R
T8,P7,0.10772402161337179,0.10772402161337179,R
Cz,C3,0.10643347691957447,0.10643347691957447,R
T8,T7,0.10358246282508363,0.10358246282508363,R
