number,value,datetime_start,datetime_complete,duration,params_dropout,params_gat_heads,params_gru_hidden,params_gru_layers,params_hidden_dim,params_lr,params_weight_decay,state
0,0.14285714285714285,2026-01-03 08:03:52.226508,2026-01-03 08:06:55.840756,0 days 00:03:03.614248,0.2916145155592091,2,64,1,32,0.0009781801964118503,1.0838581269344744e-05,COMPLETE
1,0.23523809523809525,2026-01-03 08:06:56.158703,2026-01-03 08:09:23.098186,0 days 00:02:26.939483,0.27237057894447586,4,64,2,32,0.0028425398939327107,1.7258215396625005e-05,COMPLETE
2,0.45714285714285713,2026-01-03 08:09:23.438279,2026-01-03 08:13:39.692822,0 days 00:04:16.254543,0.1841048247374583,2,128,2,64,0.0008439228148542131,1.289795048085554e-05,COMPLETE
3,0.3373626373626374,2026-01-03 08:13:40.028779,2026-01-03 08:16:58.930952,0 days 00:03:18.902173,0.15687770422304367,2,128,1,32,0.0027374517407221005,0.0003506776499297217,COMPLETE
4,0.3333333333333333,2026-01-03 08:16:59.273847,2026-01-03 08:17:39.312438,0 days 00:00:40.038591,0.32896547008552973,4,128,2,32,0.0007949502872202297,0.0001037084466895453,PRUNED
5,0.42857142857142855,2026-01-03 08:17:39.663759,2026-01-03 08:22:34.986866,0 days 00:04:55.323107,0.1928535867957587,2,128,2,64,0.000529603580578823,4.110155417284013e-05,COMPLETE
6,0.37428571428571433,2026-01-03 08:22:35.304319,2026-01-03 08:25:32.166498,0 days 00:02:56.862179,0.20771086209274284,2,128,2,64,0.0015296827926442058,4.531284774922963e-05,COMPLETE
7,0.3333333333333333,2026-01-03 08:25:32.483485,2026-01-03 08:26:13.700138,0 days 00:00:41.216653,0.22262414067317005,2,128,2,64,0.001408590628742678,0.0001334006361418075,PRUNED
8,0.0,2026-01-03 08:26:14.442837,2026-01-03 08:27:33.270776,0 days 00:01:18.827939,0.15211987097567375,4,64,1,64,0.0005183858629040286,2.2517214131152942e-05,PRUNED
9,0.0,2026-01-03 08:27:33.588047,2026-01-03 08:27:56.453752,0 days 00:00:22.865705,0.24046909814475795,2,128,2,64,0.0007895123037020805,0.0004836258624963552,PRUNED
10,0.0,2026-01-03 08:27:56.852678,2026-01-03 08:28:25.071671,0 days 00:00:28.218993,0.18847197571767915,4,64,1,64,0.001996888484142549,0.00018922070821124508,PRUNED
11,0.5133333333333333,2026-01-03 08:28:25.404150,2026-01-03 08:33:36.857956,0 days 00:05:11.453806,0.18421270030546144,2,128,2,64,0.0005382639924194283,4.360306841608858e-05,COMPLETE
12,0.6523809523809524,2026-01-03 08:33:37.207762,2026-01-03 08:38:06.942119,0 days 00:04:29.734357,0.18236450000453938,2,128,2,64,0.000668398595412541,3.529720252814932e-05,COMPLETE
13,0.3333333333333333,2026-01-03 08:38:07.281830,2026-01-03 08:38:51.843649,0 days 00:00:44.561819,0.24110425465461102,2,128,2,64,0.0005783144207990072,3.759007747480265e-05,PRUNED
14,0.37428571428571433,2026-01-03 08:38:52.162412,2026-01-03 08:43:30.235216,0 days 00:04:38.072804,0.17249966977173684,2,128,2,64,0.0006632636290494975,7.261020440387207e-05,COMPLETE
15,0.3333333333333333,2026-01-03 08:43:30.543883,2026-01-03 08:44:15.155842,0 days 00:00:44.611959,0.22134079394161418,2,128,2,64,0.0010893124864661255,2.6050965018504027e-05,PRUNED
16,0.3333333333333333,2026-01-03 08:44:15.479078,2026-01-03 08:44:54.963877,0 days 00:00:39.484799,0.2852481019398285,2,128,2,64,0.0006635597058821415,6.327433387094905e-05,PRUNED
17,0.3333333333333333,2026-01-03 08:44:55.290154,2026-01-03 08:45:48.989741,0 days 00:00:53.699587,0.20859143699693103,2,128,2,64,0.0006556311342136938,6.971919426925361e-05,PRUNED
18,0.3333333333333333,2026-01-03 08:45:49.313400,2026-01-03 08:46:25.869643,0 days 00:00:36.556243,0.3383631170612986,4,64,1,32,0.0009995993087756297,2.9665106683656807e-05,PRUNED
19,0.42857142857142855,2026-01-03 08:46:26.181337,2026-01-03 08:51:20.818897,0 days 00:04:54.637560,0.16883415819569553,2,128,2,64,0.0006167054463520668,1.7719456112248232e-05,COMPLETE
20,0.0,2026-01-03 08:51:21.127585,2026-01-03 08:51:41.001955,0 days 00:00:19.874370,0.251360779437816,2,128,2,64,0.0012632765941360908,0.0001988248311063845,PRUNED
21,0.40252100840336136,2026-01-03 08:51:41.330481,2026-01-03 08:55:57.381380,0 days 00:04:16.050899,0.18209809670492416,2,128,2,64,0.0008269820649620714,1.172479282605891e-05,COMPLETE
22,0.2857142857142857,2026-01-03 08:55:57.693955,2026-01-03 08:59:26.024948,0 days 00:03:28.330993,0.19935986047080115,2,128,2,64,0.0008532129673873396,1.6131755875550077e-05,COMPLETE
23,0.2857142857142857,2026-01-03 08:59:26.440318,2026-01-03 09:03:58.243168,0 days 00:04:31.802850,0.1735170188278,2,128,2,64,0.0007322534279978233,5.0636012213411246e-05,COMPLETE
24,0.3333333333333333,2026-01-03 09:03:58.569234,2026-01-03 09:05:02.857916,0 days 00:01:04.288682,0.22025572404406282,2,128,2,64,0.0005156578742397069,3.0526052899587656e-05,PRUNED
25,0.3333333333333333,2026-01-03 09:05:03.174434,2026-01-03 09:05:34.378243,0 days 00:00:31.203809,0.15005242246094258,2,128,2,64,0.000921235144605482,2.126752718759669e-05,PRUNED
26,0.3333333333333333,2026-01-03 09:05:34.734334,2026-01-03 09:06:45.751138,0 days 00:01:11.016804,0.18463027718161953,4,64,1,32,0.0006957208609942485,0.0001046288556376507,PRUNED
27,0.3333333333333333,2026-01-03 09:06:46.068914,2026-01-03 09:07:44.139207,0 days 00:00:58.070293,0.16570645135728929,2,128,2,64,0.0005837577853759216,1.4625871481026307e-05,PRUNED
28,0.2857142857142857,2026-01-03 09:07:44.487036,2026-01-03 09:10:40.914008,0 days 00:02:56.426972,0.20291879168251398,2,128,2,64,0.001108845919689331,3.184514486743161e-05,COMPLETE
29,0.0,2026-01-03 09:10:41.233059,2026-01-03 09:11:23.317247,0 days 00:00:42.084188,0.3127476691144387,2,64,1,32,0.0009435382400401317,5.506361609331216e-05,PRUNED
